Atul,20,Pune,IPhone13,Male,7890123456,atul125@gmail.com,1
Tanmay TP,19,Mumbai,Pixel6Pro,Male,9090123456,tanmaytp13@gmail.com,2
Tanmay U,19,Nagpur,9Pro,Male,7012345678,tanmayu32@gmail.com,3
Srikar,18,Vijayawada,GalaxyS21,Male,6012345612,srikar123@gmail.com,4
Sathvika,18,Hyderabad,Pixel6Pro,Female,8901234567,sathvika1234@gmail.com,5
Shiva,15,Mumbai,7Legend,Male,8910213456,shiva1245@gamil.com,6
Dheeraj,23,Kolkata,NordCE,Male,8012501295,dheeraj123@gmail.com,7
Prashant,25,Chennai,GalaxyA10,Male,9014501245,prashant123@gmail.com,8
Ranjith,26,Hyderabad,Nexus6,Male,6013501245,ranjith123@gmail.com,9
Sakshi,31,Bangalore,IPhone12,Female,6782501245,sakshi123@gmail.com,10
Liam,32,Jammu,GalaxyA10,Male,7012506785,liam123@gmail.com,11
Noah,35,Srinagar,GalaxyA10,Female,8992501245,noah123@gmail.com,12
Oliver,21,Pune,GalaxyA10,Male,6123591234,oliver123@gmail.com,13
Elijah,36,Bhopal,X70Plus,Male,9876401245,elijah123@gmail.com,14
William,28,Ahmedabad,GalaxyA10,Male,9132554712,william123@gmail.com,15
James,40,New Mumbai,NordCE,Male,9734738788,james123@gmail.com,16
Benjamin,45,Surat,GalaxyA10,Male,7122507612,benjamin123@gmail.com,17
Lucas,25,Vizag,NordCE,Male,9123348938,lucas123@gmail.com,18
Henry,36,Goa,X70Plus,Male,9127374389,henry123@gmail.com,19
Alexander,39,Ranchi,X70Plus,Male,9123798478,alexander123@gmail.com,20
Jesica,30,Kachh,Nexus6,Female,9129384939,jesica123@gmail.com,21
Michael,25,Dharwad,NordCE,Male,8122342133,michael123@gmail.com,22
Sansa,32,Gwalior,X70Plus,Female,9782434012,sansa123@gmail.com,23
Daniel,41,Sultanpur,Nexus6,Male,9012366583,daniel123@gmail.com,24
Jenny,45,Dholakpur,Matexs,Female,8712344590,jenny123@gmail.com,251
